OrderID,OrderDate,CustomerID,CustomerName,ProductID,ProductName,Category,Brand,Quantity,UnitPrice,Discount,Tax,ShippingCost,TotalAmount,PaymentMethod,OrderStatus,City,State,Country,SellerID,Revenue,DiscountAmount,FinalAmount,Profit,ProfitMargin,Year,Month,MonthName,DayOfWeek,Quarter,Hour
ORD0000001,31-01-2023,CUST001504,Vihaan Sharma,P00014,Drone Mini,Books,BrightLux,3,106.59,0,0,0.09,319.86,Debit Card,Delivered,Washington,DC,India,SELL01967,319.77,0,319.86,319.68,0.999718548,2023,1,January,Tuesday,1,0
ORD0000002,30-12-2023,CUST000178,Pooja Kumar,P00040,Microphone,Home & Kitchen,UrbanStyle,1,251.37,0.05,19.1,1.74,259.64,Amazon Pay,Delivered,Fort Worth,TX,United States,SELL01298,251.37,12.5685,259.6415,217.9615,0.867094323,2023,12,December,Saturday,4,0
ORD0000003,10-05-2022,CUST047516,Sneha Singh,P00044,Power Bank 20000mAh,Clothing,UrbanStyle,3,35.03,0.1,7.57,5.91,108.06,Debit Card,Delivered,Austin,TX,United States,SELL00908,105.09,10.509,108.061,81.101,0.771728994,2022,5,May,Tuesday,2,0
ORD0000004,18-07-2023,CUST030059,Vihaan Reddy,P00041,Webcam Full HD,Home & Kitchen,Zenith,5,33.58,0.15,11.42,5.53,159.66,Cash on Delivery,Delivered,Charlotte,NC,India,SELL01164,167.9,25.185,159.665,125.765,0.749047052,2023,7,July,Tuesday,3,0
ORD0000005,04-02-2023,CUST048677,Aditya Kapoor,P00029,T-Shirt,Clothing,KiddoFun,2,515.64,0.25,38.67,9.23,821.36,Credit Card,Cancelled,San Antonio,TX,Canada,SELL01411,1031.28,257.82,821.36,725.56,0.703552866,2023,2,February,Saturday,1,0
ORD0000006,31-12-2022,CUST042705,Karan Sharma,P00023,Cookware Set,Books,ReadMore,4,449.73,0,215.87,2.74,2017.53,UPI,Delivered,Los Angeles,CA,United States,SELL01494,1798.92,0,2017.53,1580.31,0.878477086,2022,12,December,Saturday,4,0
ORD0000007,20-09-2024,CUST037667,Aarav Verma,P00030,Dress Shirt,Clothing,UrbanStyle,2,219.81,0.2,28.14,14.97,394.81,UPI,Delivered,Chicago,IL,Australia,SELL01676,439.62,87.924,394.806,308.586,0.701938037,2024,9,September,Friday,3,0
ORD0000008,10-11-2022,CUST031165,Rohit Kumar,P00028,Jeans,Toys & Games,KiddoFun,2,306.51,0.05,29.12,6.24,617.73,Debit Card,Pending,Denver,CO,India,SELL00510,613.02,30.651,617.729,547.009,0.892318358,2022,11,November,Thursday,4,0
ORD0000009,26-06-2024,CUST026965,Aman Kapoor,P00031,Kids Toy Car,Sports & Outdoors,Apex,4,146.09,0,46.75,7.03,638.14,Debit Card,Delivered,Washington,DC,United States,SELL01895,584.36,0,638.14,530.58,0.907967691,2024,6,June,Wednesday,2,0
ORD0000010,01-05-2020,CUST029472,Aarav Reddy,P00001,Wireless Earbuds,Clothing,Apex,2,278.21,0.1,60.09,4.88,565.75,Credit Card,Delivered,Houston,TX,United States,SELL01584,556.42,55.642,565.748,435.808,0.783235685,2020,5,May,Friday,2,0
ORD0000011,11-04-2021,CUST005346,Rohit Reddy,P00046,Car Charger,Books,HomeEase,1,141.42,0.05,6.72,9.7,150.77,Amazon Pay,Delivered,Jacksonville,FL,Australia,SELL01217,141.42,7.071,150.769,117.929,0.833891953,2021,4,April,Sunday,2,0
ORD0000012,23-05-2023,CUST046088,Karan Kumar,P00042,Projector Mini,Home & Kitchen,KiddoFun,5,346.56,0.05,131.69,13.38,1791.23,Credit Card,Shipped,Charlotte,NC,Australia,SELL01160,1732.8,86.64,1791.23,1501.09,0.866280009,2023,5,May,Tuesday,2,0
ORD0000013,26-11-2020,CUST026576,Simran Kapoor,P00018,Vacuum Cleaner,Home & Kitchen,Zenith,4,496.76,0.05,94.38,4.43,1986.5,UPI,Delivered,New York,NY,United States,SELL00719,1987.04,99.352,1986.498,1788.878,0.900272768,2020,11,November,Thursday,4,0
ORD0000014,22-01-2024,CUST006051,Pooja Sharma,P00040,Microphone,Home & Kitchen,Apex,3,523.27,0,188.38,8.04,1766.23,Debit Card,Shipped,Seattle,WA,United States,SELL00672,1569.81,0,1766.23,1373.39,0.874876577,2024,1,January,Monday,1,0
ORD0000015,28-03-2020,CUST025111,Mohit Mehta,P00035,Desk Plant,Books,HomeEase,4,291.37,0.1,52.45,1.76,1103.14,Net Banking,Delivered,Indianapolis,IN,United States,SELL01541,1165.48,116.548,1103.142,994.722,0.853486975,2020,3,March,Saturday,1,0
ORD0000016,28-10-2023,CUST040957,Anjali Gupta,P00028,Jeans,Sports & Outdoors,HomeEase,4,533.12,0.25,79.97,2.58,1681.91,Amazon Pay,Delivered,Jacksonville,FL,United States,SELL00437,2132.48,533.12,1681.91,1516.81,0.711289203,2023,10,October,Saturday,4,0
ORD0000017,28-01-2023,CUST000735,Arjun Kumar,P00025,Running Shoes,Home & Kitchen,Zenith,4,453.47,0.1,0,4.39,1636.88,Amazon Pay,Delivered,Philadelphia,PA,United States,SELL01971,1813.88,181.388,1636.882,1628.102,0.897579774,2023,1,January,Saturday,1,0
ORD0000018,21-05-2022,CUST038237,Anjali Verma,P00039,Graphic Tablet,Toys & Games,KiddoFun,5,547.58,0,0,10.06,2747.96,Amazon Pay,Delivered,Seattle,WA,United States,SELL00132,2737.9,0,2747.96,2727.84,0.996325651,2022,5,May,Saturday,2,0
ORD0000019,14-08-2024,CUST040211,Aditya Mehta,P00033,Puzzle 1000pc,Electronics,ReadMore,5,529.19,0,317.51,4.57,2968.03,Amazon Pay,Returned,Phoenix,AZ,United States,SELL01907,2645.95,0,2968.03,2323.87,0.878274344,2024,8,August,Wednesday,3,0
ORD0000020,10-05-2020,CUST046893,Vihaan Patel,P00040,Microphone,Sports & Outdoors,HomeEase,3,303.53,0,72.85,4.18,987.62,UPI,Delivered,San Diego,CA,United States,SELL00881,910.59,0,987.62,833.56,0.915406495,2020,5,May,Sunday,2,0
ORD0000021,12-08-2024,CUST041508,Vikas Kapoor,P00028,Jeans,Toys & Games,Apex,1,226.26,0,11.31,9.55,247.12,Credit Card,Delivered,Fort Worth,TX,United States,SELL01947,226.26,0,247.12,205.4,0.90780518,2024,8,August,Monday,3,0
ORD0000022,25-08-2023,CUST048817,Pooja Sharma,P00010,Smartwatch,Books,ReadMore,4,493.47,0,98.69,11.8,2084.37,Credit Card,Delivered,Chicago,IL,Australia,SELL01672,1973.88,0,2084.37,1863.39,0.944023953,2023,8,August,Friday,3,0
ORD0000023,08-02-2022,CUST048828,Simran Reddy,P00003,Smartphone Case,Toys & Games,Apex,5,452.12,0,113.03,9.62,2383.25,Debit Card,Delivered,Phoenix,AZ,Canada,SELL01102,2260.6,0,2383.25,2137.95,0.945744493,2022,2,February,Tuesday,1,0
ORD0000024,09-12-2020,CUST033080,Vihaan Mehta,P00021,Backpack,Electronics,ReadMore,3,107.95,0.1,0,8.29,299.76,Net Banking,Delivered,Dallas,TX,United States,SELL01507,323.85,32.385,299.755,283.175,0.874401729,2020,12,December,Wednesday,4,0
ORD0000025,24-02-2024,CUST041929,Aditya Reddy,P00008,4K Monitor,Toys & Games,KiddoFun,1,16.68,0.15,1.13,2.39,17.7,Credit Card,Delivered,Jacksonville,FL,United States,SELL01553,16.68,2.502,17.698,10.658,0.638968825,2024,2,February,Saturday,1,0
ORD0000026,08-12-2023,CUST035043,Priya Kapoor,P00030,Dress Shirt,Clothing,Apex,4,380.23,0.2,60.84,9.28,1286.86,Amazon Pay,Pending,Columbus,OH,Canada,SELL00342,1520.92,304.184,1286.856,1146.616,0.753896326,2023,12,December,Friday,4,0
ORD0000027,16-03-2022,CUST043777,Vikas Kapoor,P00036,Smart Light Bulb,Toys & Games,UrbanStyle,3,569.69,0.25,153.82,14.27,1449.89,Credit Card,Delivered,San Francisco,CA,United States,SELL01129,1709.07,427.2675,1449.8925,1113.7125,0.651648265,2022,3,March,Wednesday,1,0
